Title,Image,Rating,Price,Result Type
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU",https://m.media-amazon.com/images/I/61R5Ecv7i-L._AC_UY218_.jpg,4.2 out of 5 stars,"50,150",Organic
"HP 15, 13th Gen Intel Core i5-1334U (16GB DDR4,512GB SSD) FHD, Anti-Glare,Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr)* Office24, Silver,1.59kg, fd0467tu, Iris Xe, FHD Camera w/Shutter, Backlit Laptop",https://m.media-amazon.com/images/I/71r0BBNmBOL._AC_UY218_.jpg,3.9 out of 5 stars,"60,990",Organic
"ASUS Zenbook 14 (2026),Smartchoice,Intel Core Ultra 7 255H,32GB RAM,1TB SSD,OLED,Touchscreen,14""(35.5 cm),Win 11,M365 Basic(1Y)* Office 24,Ponder Blue,1.28 Kg,UX3405CA-QL1015WS,Thin & Light Laptop",https://m.media-amazon.com/images/I/61HSZo9UDzL._AC_UY218_.jpg,N/A,"1,19,990",Organic
"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core i3/Core 3 100U Processor, 8GB DDR4, 512 SSD, 15.6"" FHD 120Hz IPS 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, Thin & Light 1.63Kg",https://m.media-amazon.com/images/I/717WZ7WriwL._AC_UY218_.jpg,4.1 out of 5 stars,"46,490",Organic
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN",https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,4.1 out of 5 stars,"46,999",Organic
"Dell 15, Intel Core i3/Core 3 14th Gen-100U, 16GB DDR4, 512GB SSD, FHD IPS, 15.6""/39.62cm, Windows 11, Microsoft Office Home 2024, Carbon Black, 1.63Kg, Thin & Light, Laptop Model NO - Dell 15 DCU5250",https://m.media-amazon.com/images/I/71I4NoKj-oL._AC_UY218_.jpg,3.8 out of 5 stars,"49,990",Organic
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty",https://m.media-amazon.com/images/I/71aup0IO2ZL._AC_UY218_.jpg,4.0 out of 5 stars,"52,890",Organic
"ASUS Vivobook 15, Smartchoice,Intel Core i3 13th Gen 1315U, 12GB RAM, 512GB SSD, FHD 15.6"", Win 11, Office 2024, Quiet Blue, 1.7Kg, X1504VA-BQ332WS, Intel UHD iGPU, M365 Basic (1Year)*, 42Whrs Laptop",https://m.media-amazon.com/images/I/61JUHhbEMxL._AC_UY218_.jpg,4.2 out of 5 stars,"50,990",Organic
"Acer Smartchoice Aspire One, Intel Core Celeron N4500, Office 2024 + M365 Basic, 12GB LPDDR4X / 512GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.3KG, A114-45, Thin and Light Laptop",https://m.media-amazon.com/images/I/71uoRYyilhL._AC_UY218_.jpg,3.4 out of 5 stars,"37,990",Organic
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",https://m.media-amazon.com/images/I/61AccNkmFFL._AC_UY218_.jpg,4.0 out of 5 stars,"41,999",Organic
"Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Indigo",https://m.media-amazon.com/images/I/61vTx-Qa1QL._AC_UY218_.jpg,4.7 out of 5 stars,"65,700",Organic
"EBook 11.6"" HD Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB DDR4 | 128GB eMMC + M.2 SSD Expandable Slot | Win 11 Home |31Wh Battery | UHD Graphics 600 | Black",https://m.media-amazon.com/images/I/71F8TUSryhL._AC_UY218_.jpg,3.3 out of 5 stars,"11,990",Organic
"HP 15, AMD Ryzen 5 7520U,(16GB LPDDR5, 512GB SSD), Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win 11, Office 24,M365 Basic(1yr)*,Silver, 1.59kg, fc0690au, FHD Camera, Backlit KB Laptop",https://m.media-amazon.com/images/I/71qeL9SvpeL._AC_UY218_.jpg,4.0 out of 5 stars,"54,990",Organic
"Lenovo Ideapad Slim 3 AMD Ryzen 5 7520U 15.6"" (39.6cm) FHD Thin and Light Laptop (16GB/512GB SSD/Windows 11/Microsoft 365 Basic + Office Home 2024/Backlit Keyboard/Grey/1.6Kg), 82XQ00XDIN",https://m.media-amazon.com/images/I/71TpJsdzvCL._AC_UY218_.jpg,4.1 out of 5 stars,"55,200",Organic
"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop",https://m.media-amazon.com/images/I/61SHFVKs+AL._AC_UY218_.jpg,4.0 out of 5 stars,"45,990",Organic
"Dell G15, 13th Gen Intel Core i5-13450HX Processor, NVIDIA RTX 3050-6GB, (16GB RAM 1TB SSD) FHD 15.6""/39.62 cm, Orange Backlit Keyboard, Win 11, MS Office'24, Dark Shadow Grey, 2.65Kg Gaming Laptop",https://m.media-amazon.com/images/I/61ko2a0owDL._AC_UY218_.jpg,4.0 out of 5 stars,"80,490",Organic
