Title,Image,Rating,Price,Result Type
"EBook 11.6"" HD Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB DDR4 | 128GB eMMC + M.2 SSD Expandable Slot | Win 11 Home |31Wh Battery | UHD Graphics 600 | Black",https://m.media-amazon.com/images/I/71F8TUSryhL._AC_UY218_.jpg,3.3 out of 5 stars,"11,990",Organic
"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core i3/Core 3 100U Processor, 8GB DDR4, 512 SSD, 15.6"" FHD 120Hz IPS 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, Thin & Light 1.63Kg",https://m.media-amazon.com/images/I/717WZ7WriwL._AC_UY218_.jpg,4.1 out of 5 stars,"46,490",Organic
"acer SmartChoice Aspire Lite, AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Thin and Light Laptop",https://m.media-amazon.com/images/I/718UBZxpxrL._AC_UY218_.jpg,4.0 out of 5 stars,"45,990",Organic
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU",https://m.media-amazon.com/images/I/61R5Ecv7i-L._AC_UY218_.jpg,4.2 out of 5 stars,"50,150",Organic
"ASUS Vivobook 15, Smartchoice, AMD Ryzen 7 5825U, 16GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.7Kg, M1502YA-BQ703WS, AMD Radeon iGPU, M365 Basic (1Year)*, 42Whr Laptop",https://m.media-amazon.com/images/I/71zMooVIVAL._AC_UY218_.jpg,4.0 out of 5 stars,"54,990",Organic
"ASUS Chromebook CX1405 (2026), Smartchoice,Intel N50 Processor, Intel UHD iGPU, 8GB RAM, 128GB SSD, FHD, 14"" (35.5 cm), Chrome OS, Pure Grey, 1.39 Kg, CX1405CTA-S60622, 42WHrs, Thin & Light Laptop",https://m.media-amazon.com/images/I/616Jpqwdp3L._AC_UY218_.jpg,2.7 out of 5 stars,"28,990",Organic
"𝗗𝗲𝗹𝗹Laptop Model 5420 | 𝗜𝗡𝗧𝗘𝗟i5 11th Gen Processor |8GB DDR4 RAM |256GB SSD |14"" FHD Display | Win10 | A+ Condition Laptop (Refab)",https://m.media-amazon.com/images/I/51LHNjAjH9L._AC_UY218_.jpg,N/A,"30,490",Organic
"Certified ThinkPad L440 Core i5 4200m – Upto 16GB RAM, Upto 1TB SSD 14"", Win 10 Pro, Professional Business Laptop (8.0, GB, 128.0, GB)",https://m.media-amazon.com/images/I/61TDeK987ML._AC_UY218_.jpg,N/A,"13,990",Organic
"Apple 2026 MacBook Air 13″ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, 12MP Center Stage Camera, Touch ID; Sky Blue",https://m.media-amazon.com/images/I/71kKQjKzW1L._AC_UY218_.jpg,4.9 out of 5 stars,"1,11,500",Organic
"HP 15 (2026), AMD Athlon Dual Core 7120U - (8 GB DDR5/512 GB SSD/AMD Radeon 610M Graphics/DOS) Thin and Light Business Laptop/15.6"" HD Display/Turbo Silver/Copilot Key/1.5kg",https://m.media-amazon.com/images/I/718-7YE0WQL._AC_UY218_.jpg,2.2 out of 5 stars,"39,890",Organic
"Acer Smartchoice Aspire One, Intel Core Celeron N4500, Office 2024 + M365 Basic, 12GB LPDDR4X / 512GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.3KG, A114-45, Thin and Light Laptop",https://m.media-amazon.com/images/I/71uoRYyilhL._AC_UY218_.jpg,3.4 out of 5 stars,"37,990",Organic
"ASUS TUF A15 (2025), AMD Ryzen 7 7445HS,RTX 3050-4GB,75W TGP,16GB DDR5(Upgradeable Upto 64GB) 512GB SSD,FHD,15.6"",144Hz,RGB Keyboard,Windows 11,Graphite Black,2.3 Kg FA506NCG-HN199W, Gaming Laptop",https://m.media-amazon.com/images/I/71K4CpdfmHL._AC_UY218_.jpg,4.3 out of 5 stars,"73,990",Organic
"ASUS Vivobook 16,Smartchoice, 13th Gen, Intel Core i5-13420H,16GB RAM,512GB SSD,FHD, OLED,Win 11,M365 Basic (1Y),Backlit Keyboard,Office 2024,Silver,1.88 kg,X1605VA-SH1952WS, Thin & Light Laptop",https://m.media-amazon.com/images/I/71aaW7HXKnL._AC_UY218_.jpg,4.2 out of 5 stars,"62,990",Organic
"Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Indigo",https://m.media-amazon.com/images/I/61vTx-Qa1QL._AC_UY218_.jpg,4.7 out of 5 stars,"65,700",Organic
"HP 15, 13th Gen Intel Core i5-1334U (16GB DDR4,512GB SSD) FHD, Anti-Glare,Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr)* Office24, Silver,1.59kg, fd0467tu, Iris Xe, FHD Camera w/Shutter, Backlit Laptop",https://m.media-amazon.com/images/I/71r0BBNmBOL._AC_UY218_.jpg,3.9 out of 5 stars,"60,990",Organic
"HP 255 Notebook, AMD Athlon Silver 7120U,8GB DDR4, 256GB SSD, 15.6-inch(39.6cm), Anti-Glare, HD Laptop, Radeon Graphics, (Win 11, Silver,1.52kg) G10",https://m.media-amazon.com/images/I/71rw7cd14mL._AC_UY218_.jpg,4.0 out of 5 stars,"38,839",Organic
